job_title,company,location,salary,description,job_url_result
Data / Information Analyst,Activ,Wembley WA,,"About Activ 
 
Activ is the largest disability support provider in Western Australia registered under the NDIS. We provide individualised services for people living with disability and their families. Activ was founded in 1951 by a group of families who wanted more for their children who lived with disability and had become marginalised by society. We are seeking like-minded individuals to join us in supporting our customers to achieve their goals. We want leading experts to use their skills to help enrich the lives of our customers and society as a whole. 
 
About   the job 
 
Activ are currently seeking to appoint a  Data & Information Analyst  on a full-time, six to eight (6-8) month contract based in Wembley. This newly created role will be responsible for the review of the relevant records within a data set identifying and reporting trends and assisting in the compilation of a submission to the Royal Commission based on the findings. 
 
Responsibilities Include: 
 
 Analyse large amounts of data and identify trends and issues, 
 Understand business context and make recommendations where required, 
 Perform qualitative analysis / data mining, 
 Escalation of (evidence based) information / findings to relevant stakeholders where required. 
 
 Pre-requisites to ensure Success in the role:
 Experience in data analytics utilising data visualisation, 
 Good report writing skills with the ability to work to tight deadlines, 
 Previous data-base utilisation for analysis, 
 The ability to work autonomously and within a broad team, 
 Previous experience working within the Disability sector (highly desirable) 
 
 What we offer: 
 
 Wembley location | Onsite Parking with end of trip facilities 
 Attractive Salary packaging options 
 Flexible working culture 
 
 We understand that unique perspectives, ideas and contributions only strengthen our workforce and are committed to creating a diverse and inclusive workplace of the future. We are an equal opportunity employer and all qualified applicants will receive consideration for employment. 
 
As part of the recruitment process you will be required to complete pre-employment screening which may include a medical, police clearance and Australian working rights check. Activ may remove advertising and/or commence the recruitment process prior to the application close date.",http://au.indeed.com/rc/clk?jk=9123910b685b06a9&fccid=1df6e661dcab703f&vjs=3
Senior Data Analyst,Queensland Government,Brisbane QLD,,"The role:  The Senior Data Analyst will play an important role in delivering key analysis projects through analysing health related data, interpreting and communicating results to assist Queensland Health in planning, monitoring and evaluating project-specific activities. The role is responsible for extracting and manipulating data from Queensland Health databases, designing and performing statistical analysis of health data, identifying new and/or appropriate analytical methodologies, preparation of reports, and communicating results to stakeholders. The role will provide specialist advice to other areas within Queensland Health regarding statistical methods and analytical procedures.
 
 What we are looking for: 
To be considered for this role, you will have high level knowledge in statistical methods and concepts to appropriately use statistical procedures and interpret data and statistical information in a health context. Your demonstrated high level of programming, data manipulation and analysis ability, including experience using statistical programming packages (e.g. SAS or SQL) to interrogate, extract, and manipulate data, and experience with large and complex health data sets will be an essential requirement for success in this role.. You will demonstrate the ability to engage effectively across all levels of the organisation and with external organisations and professional groups including the ability to communicate technical information to non-technical audience. Knowledge and understanding of the health sector and interpreting Queensland health data would be highly desirable.
 
About usStatistical Analysis and Linkage is one of four units in the Statistical Services Branch and is responsible for the linkage and analysis of data of several major corporate health-related data collections. The data are used for health services planning, research into diseases, monitoring standards of care, and national reporting requirements.
 
Benefits
 
 
 A fast-paced, challenging and supportive environment 
 Competitive salary + generous superannuation and leave loading 
 Flexible working arrangements 
 Diverse work culture 
 Career training and development 
 
To apply for this exciting opportunity, please submit your resume and a cover letter (maximum 2 pages) online outlining your skills and experience relevant for this role. For further information, please contact Tim Moffitt on 07 3708 5709.This work is licensed under a Creative Commons Attribution 3.0 Australia License.",http://au.indeed.com/rc/clk?jk=665516575603fa0e&fccid=033d5c6dd090c8a4&vjs=3
Data Analyst / Digital Form Specialist,MyProsperity,Hawthorn VIC,$25 an hour,"myprosperity is an award winning personal wealth platform that makes it easy for accountants and advisers to help their clients get their financial world – sorted. Available on desktop and as a mobile app, myprosperity is a whitelabel wealth portal that boasts live data feeds, digital doc signing and digital fact finds, as well as budgeting, cashflow and goal setting tools for an integrated all-in-one approach to personal finance. 
 
Founded in 2011, myprosperity is a global company with a team of 25+ and offices in Australia and the UK. 
 
Role Description 
 
Seeking a new team member whose role will be to analyse hard copy financial forms, and build digital versions for our Partners to support the automation of their data gathering processes. This role works closely with the development team to ensure new and necessary fields are added to the database. All new fields need thorough testing to ensure quality and user experience are uncompromised during the process. This role is ideally suited to an individual with strong attention to detail and a thoroughness when it comes to the finer points. 
 
  Overview of Key Responsibilities 
 
 Receive forms from partners, set their expectations and provide regular updates while the form is being prepared 
 Analyse the hard copy form PDFs provided by external sources 
 Determine any missing fields from the form PDFs in our internal portal 
 Brief the development team on all fields that need to be built/added to the internal portal 
 Once all new fields are built, replicate the original PDF as a digital form in the portal using our internal tool 
 Test the digital forms thoroughly to verify all fields are replicated and included, and the digital forms are functioning as expected 
 Deliver the digital forms to partners and receive feedback 
 
 You will need 
 
 Good communication and analytical skills 
 Prioritisation skills and ability to work to a deadline 
 Good attention to detail and ability to use initiative 
 QA knowledge for form testing preferable 
 Experience using ZOHO preferable 
 Previous work/understanding on fact finds/financial forms an advantage 
 
 If this sounds like a good fit for you, apply now. 
 
 Only valid visa holders need apply.",http://au.indeed.com/rc/clk?jk=fc2ca869cd9ff3ed&fccid=c4a52ae85df9d502&vjs=3
Data & Reporting Analyst,Australian Military Bank,Australia,,"Welcome to Revelian 
 
 You are here: home / login
 
 Login 
 
 
* Required
 Username or email address   Password or test code   Login 
 
 
 Forgot your login details? 
 
 
  Need help? 
 Check our FAQs 
 
 © Revelian Pty Ltd 2020 Site secured by Geotrust Contact Us Terms & Conditions
 ' + '' + ' ' + '' + $(this).attr(""title"") + '' + ' ' + '' + '' + '' } }); });",http://au.indeed.com/rc/clk?jk=45152313e38359d6&fccid=e1ebc3811e44451d&vjs=3
Senior Digital Data Analyst,Optus,Macquarie Park NSW,,"Senior Data Analyst 
 
 The Senior Digital Data Analyst within the Digital Hub is a critical role in the Analytics Chapter within the Digital Tribe, Digital Consumer. 
 
 The Digital Hub has been established to allow the rapid development and launch of Optus Digital assets including the My Optus App, Optus Website for both Sales & Service, Chatbot, Digital Case Management and all aspects of Optus Digital interactions with customers. 
 
 The Senior Digital Data Analyst will be a strong proactive contributor to the delivery of squad OKR’s, looking not just at delivery of existing initiatives, but also the identification and delivery of new opportunities across all Digital assets. 
 Key responsibilities will include: 
 
 Utilize Google Analytics, Tableau & BigQuery to create robust solutions for sales and marketing teams 
 Split your time over two Agile Squads within the Digital Omnichannel Engagement Tribe 
 Scoping, defining and implementing tracking solutions across digital assets, ensuring that all critical aspects of sales and service customer journeys are captured; 
 Performing analyses, and presenting findings in a clear and understandable language; 
 Performing complex data, statistical and commercial analysis to understand how customer behaviour, product changes and adjustments to digital assets impact the Consumer business; 
 Developing recommendations with a clearly articulated, structured argument; 
 Delivering findings back to the senior stakeholders to drive well-informed decision-making; 
 Contributing to the overall chapter delivery of business insights and recommendations to delivery against the Digital Tribe objectives 
 
 
 About you 
 
 Preferred skills and experience include: 
 
 Advanced in BI Reporting tools such as Tableau is ideal 
 Seasoned background as a Senior or experienced Data Analyst (SQL, Lavastorm, Alteryx etc) 
 Experienced in Google Analytics implementation on web, preferably with some Tag management experience 
 You would be a self-starter with the ability to work independently and multitask several different activities across critical deadlines in a high-pressure environment. 
 Tertiary qualifications in a quantitative field (e.g. Mathematics, Computer Science, Finance, Engineering, Statistics) 
 Minimum 6 years of demonstrated exposure to a variety of Digital Marketing, Digital Sales and/or Digital Service in large organisation 
 Ability to deal with senior management and executive leadership teams, and, technical implementation stakeholders 
 Great communication skills and ability to build relationships with diverse teams 
 Have intense curiosity - a desire to go beneath the surface of a problem, find the questions at its heart and distil them into a very clear set of hypotheses that can be tested 
 Keep abreast of innovate analytics and modelling techniques in the industry 
 
 
 About us 
 At Optus, we don’t sit back and let the future happen to us – we’re out there making it. By expanding into new technology and relentlessly improving every day, we’re working to create a better tomorrow for all Australians. 
 
Optus believes in the strength of a vibrant, diverse and inclusive workforce where backgrounds, perspectives and life experiences of our people help us innovate and create strong connections with our customers. 
 
 Heads Up! 
Due to the fast paced nature of our business, vacancy close dates may change, so make sure you apply today!",http://au.indeed.com/rc/clk?jk=ceef09088616cf5c&fccid=312c42bfb3b98b50&vjs=3
Data Portfolio Business Analyst,FinXL,North Sydney NSW,,"Location: 
North Sydney
 
 Job Type: 
Contract
 
 Specialisation: 
Telecommunications
 
 Reference: 
(JL)48749
 
FinXL IT Professional Services is an established, innovative Australian company, providing technology enabled business solutions and consulting services across a number of industries. These include; Government, Telecommunications, Commercial and Finance. We currently have more than 1200 consultants assisting our clients across Australia and are continuing to grow at a rapid pace. Through the delivery of services and implementation of new systems, processes and technology, we assist our clients to gain competitive advantage and reach new heights.
 
The Role
 
Our client, a large North Sydney based telecommunication organisation, is looking for an experienced Data Portfolio Business Analyst.
 
 
 Work on project with focus on data management, data quality and data classification 
 Review data related requests and issues and give guidance and advice 
 Facilitate workshops with business stakeholder to gather requirements and analyse problems 
 Formulate requirements, strategies and governance 
 Assist with identifying data security and data privacy issues and other risks 
 
Who you are
 
You will have the following skills/experience
 
 
 5+ years’ experience working in large enterprise (e.g. telecommunications or finance) 
 Proven experience in data analysis and reporting 
 Extensive experience in data quality and governance 
 Good understanding of Information Management, BI or Data Warehouse 
 Experience in Lean or Six Sigma methodologies 
 Strong stakeholder management and communication skills 
 
What’s on offer
 
This is a 6+ months’ engagement with a high profile organisation working on a fast pace project.
 
What’s next
 
If you would like to be considered, please send your application to Julia Leung on julial@finxl.com.au",http://au.indeed.com/rc/clk?jk=58eff908ba93993e&fccid=ac03a1f83ad84e54&vjs=3
Data Analyst,IE,Melbourne VIC,,"About us
 
(i.e.,) is an innovation company that offers corporate innovation, product co-creation and digital delivery for some of Australia's most successful businesses (our website ( https://ie.com.au/ ) - take a look for some recent work). Headquartered in Melbourne and with teams in New York/San Francisco, IE employs 100+ people (plus a few furry friends) working in cross functional teams to innovate and deliver outcomes powered by design thinking and agile delivery.
 
We are a flexible business that trusts our team members to deliver work in the best possible way to get the best client outcomes. We are committed to a work environment that is curious, innovative, diverse, thoughtful and gives our team members every opportunity to grow. This means autonomy in your work (with a supportive team around you) and the ability to structure your work day in a way that suits your life needs - as long as the client's needs remain paramount.
 
About the opportunity
 
We're seeking an experienced Data Analyst to work on the agency's key clients. This is a permanent position based in our Richmond office. This is a role for someone that loves to create compelling stories with data and propose solutions that impact clients in a meaningful way.
 
The successful candidate must be comfortable working in a collaborative team environment and where developing solutions directly and alongside the client will feature heavily. The long term goal is for the successful candidate to be a lead data strategist, who will help define and grow the data offering in the organisation, eventually build and lead a team of data strategists, data analysts and scientists in the future.
 
In the short term, the successful candidate will help our clients to get insights from their data and create predictions based on analytics. The candidate also together with the head of analysis will standardise the data framework used in the organisation. This will include the establishment of objectives, KPI and metrics.
 
 You could expect to spend a typical week working across: 
 
 Contribute to the evolution of an analytical practice. To help standardise the use of data across the agency's processes, thinking, strategy and engagements 
 Work with our account directors to identify data opportunities and strategies for our clients 
 Talk with passion, intelligence and fluency about the use of data and analysis to unlock customer understanding and help optimise the client's operations, business or websites 
 Perform statistical data analysis on client's existing data set, and discover new uses for existing data sources. Deliver actionable insights from data. 
 Develop measurement frameworks and metrics that allow the business to understand their business better 
 Prepare reports and create dashboards, which give our clients information and insights into their business' performance 
 Prepare presentations and present to clients, combining your ability to generate insights with your data manipulation and visualisation skills. 
 
 About you: 
We are open to all backgrounds but would prioritise applications that can demonstrate the following:
 
 
 Able to demonstrate a customer centric and data focused mindset 
 A love of strategic and analytical thinking as well as delivering and presenting data outcomes 
 Solid knowledge of the range of analytics tools and statistical software 
 Experience in data transformation, advanced analytics and statistics 
 Experience in digital analytics such as Google Analytics, Google Tag Manager and Adobe Analytics is highly regarded. 
 Able to find insights, explain and communicate the insights to the team and client in an easy to understand manner 
 Ability to do predictive analytics to create ideas that the client hasn't even thought of 
 Strong interest in Machine Learning, with some knowledge in data engineering is preferred 
 Excellent stakeholder management 
 Able to mentor other team members, educate the clients and internal stakeholders about data 
 If you've got a side business or entered into the entrepreneurial space, we'd like to hear about it 
 
Why us?
 
Outside of the career opportunities , diverse work and ability to work with premium institutional clients, IE genuinely cares about our team members and their interests. It's an environment where you can thrive and grow. On top of that, we like to look after the whole person with a range of benefits like:
 
 
 Flexible and remote working 
 Paid parental leave 
 Up to 15 days personal leave per annum (for any personal reason - pawrents, moving house, mental health days etc) 
 Plentiful L&D opportunities - conferences, meetups, subscriptions, public speaking, hackathons, courses, lunch and learns, agile accreditations, you name it. 
 Salary packaging 
 Free coffee, breakfast and fruit 
 An active social committee - for the family person, the gaming person, the social person 
 Health & wellbeing stuff - like yoga and footsal! 
 Typical agency stuff like - games, pool, sports teams & table tennis 
 Finally, but not least, we have a strong culture of inclusivity, learning, innovation and kindness. 
 
Applications will need to address your experience/skill across the key performance areas. We can't wait to read them!",http://au.indeed.com/rc/clk?jk=e6c94eb747930749&fccid=a79662b358d90a3c&vjs=3
Senior Data Analyst,Australian Mathematical Sciences Institute,Canberra ACT,,"The Pharmacy Guild of Australia represent their members who are the proprietors of community pharmacies. They form a unique network of trusted healthcare professionals across Australia. The Guild is committed to offering staff a supportive, flexible and rewarding working environment and conditions. 
The Guild is currently recruiting for a Senior  Data Analyst . This role is centred on enhancing the Guilds data assets, though  analysis  of current data, improvements to data warehousing and linkages, as well as establishing new data sources. This involves a combination of technical skills, experience analysis and strong interpersonal communication. 
This role is a permanent full time position based at the National Secretariat in Canberra. 
To be considered for this role you will need to address the following selection criteria: 
Demonstrated experience in building, and maintaining an SQL data warehouse and creation of complex extracts 
Demonstrated experience working with R and Python 
Demonstrated ability to create informative conclusions from data through  data analysis , geospatial mapping skills are desirable. 
Experience in stakeholder engagement and possessing well-developed written and oral communication skills 
Advanced Microsoft Excel skills including working with large complex workbooks and using advanced nested and  statistical functions 
Project management including experience in completing complex projects to a high standard on schedule 
The following qualifications are essential for this position: 
Tertiary qualification in a quantitative field such as computer science, information systems,  statistics ,  mathematics , economics, finance, actuarial, engineering or 5-10 years of experience in  data analysis  role focussed on SQL relational databases. 
This ad is now closed and is an example of a job including maths skills. 
Similar Jobs 
Enquiries 
Contact Us 
We're not around right now. But you can send us an email and we'll get back to you, asap.",http://au.indeed.com/rc/clk?jk=7c4887399f558ca2&fccid=94f8fb30abdf8f96&vjs=3
BI & Data Analyst (Microstrategy),Fortune Select,Melbourne VIC,,"Design and develop MicroStrategy dashboards, reports and solutions architecture to meet the needs of client solutions. 
 Identify repeatable solutions or opportunities to implement or enhance an existing solution. 
 Interview business users or conduct workshops to extract requirements fulfilling upon both strategic and tactical information needs. 
 Independently identify project risks and create mitigation strategies and tasks. 
 Consistently identify project challenges, effectively communicate them with the team, and continue to follow-up accordingly until a solution has been found. 
 Identify creative solutions while collaborating with the team and leading the implementation. 
 Independently identify work breakdown structures required to complete project plans and assist in development of project plans. 
 Design and perform all activities related to migration of MicroStrategy components between environments during development and deployment. 
 Execute project assignments to support overall objectives of the engagement project plan; analyzes and resolves technical problems on standard systems or selected platforms. 
 Test reports for data accuracy and conduct root cause analysis and remediation of issues. 
 Hands-on experience with implementation and support of a business intelligence reporting suite. 
 Plan the activities and resource requirement of own portion of an engagement; focuses on the delivery of short-term results to the client; ensures that personal workflow is aligned with the engagement timetables. 
 Identify gaps between project scope and overall client needs. 
 
 Knowledge, Skills, and Abilities : 
 
 Able to act as a lead for work packages or entire projects and work in an ever-changing environment. 
 Must have experience in all or most of MicroStrategy deployment, security, consulting, and administration. 
 Excellent analytical and problem-solving skills to quickly recognize, isolate, and resolve technical problems. 
 Understand business requirement and able to create/propose solutions. 
 Ability to work independently and effectively communicate with the client. 
 Be a strong team player and contribute to a positive company culture. 
 Experience in metadata modeling, interactive dashboards, highly-formatted report services documents, and performance fine-tuning 
 Certified MicroStrategy v10+ Architect (Good to have) 
 Highly proficient in SQL and ETL processes 
 Experience demonstrating the use of MicroStrategy development tools including Architect, Desktop, Web, Mobile, Object Manager, Enterprise Manager and Command Manager 
 Recommend and provide technical assistance on future enhancements, such as MicroStrategy version upgrades, project rollouts, architecture modifications, and new reports. 
 Experience in using MicroStrategy Web SDK 
 Education & Experience: 
 
 Bachelor’s degree in Engineering, Mathematics, Computer Science, Information Systems, Economics or Business, or equivalent 
 7+ years of experience designing, developing and implementing MicroStrategy reporting solutions from inception to production 
 Email CV to amits@myfortuneslect.com",http://au.indeed.com/rc/clk?jk=196fee3de8aed3f4&fccid=0ddd285ee27b130f&vjs=3
Data Analyst – Demand Forecaster,AGL Energy,Melbourne VIC,,"There’s never been a better time to be at AGL
 It’s an extraordinary time for the energy sector. A time of complex challenges and unprecedented opportunities.
 At AGL we have the scale, resources and ambition to take the lead and make real the possibilities the future holds. We’re renewing and expanding our portfolio of sources and products to make them more sustainable, reliable, affordable and useful for all Australians.
 That’s what we call progress. To achieve it, we’re bringing together people with unique stories, perspectives, and talent – and we need yours too.
 At AGL, we believe progress is powered by our people. Let us empower you to make a positive difference and help bring progress to life.
 About the Role
 We currently have an opportunity for a Load Forecasting Analyst within our Wholesale Market business unit in the Load Forecasting team.
 The role exists to provide market analysis, research, and insights, enabling the development and continuous improvement of Wholesale Markets gas and electricity load forecasting capability, thus supporting high-quality trading and commercial decision making.
 Your key responsibilities will be:
 Accurate and timely forecasting of AGL’s customer load
 Interrogation and useful interpretation of large and complex data sets, primarily pertaining to AGL customer load
 Contributing to the ongoing enhancement of commercial decision-making within AGL’s Wholesale Markets business unit, through the provision and continuous improvement of high-quality quantitative and qualitative forecasting and analysis of customer demand
 Contributing to the enhancement of the AGL’s market modelling and forecasting capability, by designing, developing, testing, and continuously improving AGL’s in-house forecasting IT and analytics systems
 Communicating clearly and transparently the relevant features and assumptions of the forecasts to the key internal customers, and to seek and be receptive of the feedback of the LF stakeholders
 Complying with all the regulations and risk policies relevant to WM and the LF team. To ensure that all Health, Safety and Environment goals are adhered to, while meeting the organisation's policies and standards for HSE Management
 Demonstrating AGL Values by acting in the best interests of AGL at all times and working together across the business to create the best overall results and decisions. Encourage and value the diversity in AGL’s workforce, upholding AGL’s inclusive workplace culture
 Self-motivated research and investigation
 About You
 To be successful, you’ll have:
 Excellent numeracy and analytical skills, including a proper grasp of the concepts of statistics and probability. Tertiary qualification in a quantitative discipline such as Mathematics, Statistics, Econometrics, Operations Research, Engineering, or Science is preferred
 Relevant experience in a related field – forecasting, statistics, data analysis, IT, or commercial. Energy market experience (in Australia or internationally) will be highly regarded. Experience in mathematical or econometric modelling will be well regarded
 Programming skills. This could be demonstrated, for example, through proficiency with Python, R, Matlab, C++, C#, Java, or other programming language
 The ability to convey complex analytical requirements, results, and insights clearly and patiently in one-on-one interactions, to people with a diverse range of knowledge and experience – including business and IT functional stakeholders
 Creative problem solving and an inquisitive mind. The successful candidate will be a person self-motivated to continually improve one’s own understanding of the world, empowered through discovery and learning
 At AGL all employees are encouraged to be themselves and to bring their whole selves to work every day. We encourage applications from Aboriginal and/or Torres Strait Islander people, people living with disability, culturally and linguistically diverse people and people of the LGBTI+ community, including transgender, gender diverse, and intersex people. AGL has a commitment to maintain a diverse workforce, so welcomes the opportunity for applicants to share their lived experiences but recognises that some applicants may not wish to disclose, so that option is supported.",http://au.indeed.com/rc/clk?jk=e8edbc7c717c31f5&fccid=04bdf85f0d53c42e&vjs=3
Data Analyst / ETL Developer,Dialog Information Technology,Melbourne VIC,,"Microsoft Gold Certified Partner 
 Utilise your Microsoft BI, SQL Server, Power BI and ETL skills 
 Government Sector 
 Melbourne CBD 
 
Dialog is seeking a Data Analyst / ETL Developer to join our Melbourne professional consulting team. We are seeking a person who will bring their previous experience in data analysis, data modelling and who has a focus on great delivery outcomes. This role will be working within an established team directly with a key client. Criteria for selection will include: 
 Demonstrated experience in data analysis including the ability to analyse raw data and transform/map them into requirements 
 Previous experience in data modelling and data modelling tools 
 Proficient in producing data requirements documents, test scenarios and user stores 
 Solid experience in building, testing, delivering and supporting reporting solutions 
 Strong knowledge and/or experience with Microsoft BI platforms, SQL Server (SSIS, SSAS, SSRS, SSMS), Power BI, Azure Data Factory, ETL and/or reporting platforms 
 About   Dialog  -  As Australia's largest privately owned IT Services Company our key focus is on delivering outstanding results to its many corporate and government clients using leading tools, technologies and methodologies.  Dialog  is a dynamic organisation which offers attractive career development to its people through diverse projects, training and mentoring in a collaborative atmosphere. 
 As a  Dialog  consultant engaging with these clients you will: 
 Work with key stakeholders to achieve world's best practice processes in major projects 
 Work on a wide variety of interesting and challenging assignments 
 Work with colleagues in partnership with clients who are committed to achieving their business objectives 
 Enjoy salary above industry standard in a working environment in which effort, creativity and a positive attitude are highly valued 
 Have extensive training opportunities through the Dialog Academy, which offers over 1,500 IT and 800 Business Skills courses 
 Work with like-minded colleagues who share information and focus on the goal, driving the project and their careers further and faster 
 At  Dialog , our whole approach is based on four key values:  Involved, Committed, Can Do, Always . It's these values, applied to every project, which stand behind our success and ensure we are always client focused. These same four values underpin the relationship we enjoy with our people. 
 
Join our team of professional, enthusiastic and experienced consultants, where communication, learning and knowledge sharing are prized. We offer an excellent benefits package. 
 
 Dialog  is an equal opportunity employer. 
 
Applicants should be Australian or NZ citizens or Australian permanent residents. If you are not an Australian or New Zealand citizen you will need to provide your passport and visa for our review.",http://au.indeed.com/rc/clk?jk=036d13e513258188&fccid=3acd1dea12f3f20d&vjs=3
Data Management Senior Analyst,Macquarie Group Limited,Sydney NSW,,"Use your passion for data to deliver Data Management initiatives alongside a global finance transformation project. This role will leverage the project artefacts, co-ordinate with business subject matter experts and the Group data and Enterprise data management teams to effectively deliver against the data management objectives for the programme. You’ll focus on metadata management, data quality management, master and reference data management, data architecture and data ownership. 
 
We are looking for a delivery-oriented Data Management professional who is able to work with stakeholders to understand data requirements, business processes and data flows, and effectively identify, triage, and plan for remediation data quality issues and incidents. You will have the ability to translate technical concepts into business concepts that non-technical people can easily understand. 
 
In this role, you will be required to work across the Project team and multiple business groups and be able to build and maintain strong relationships. You will engage with a diverse set of stakeholder groups to gather the required information to complete the data management scope delivery and data under governance activities in the General Ledger Project. 
 
Key to your success in this role will be your experience with Data Management ideally from the Financial Services industry. You will have the ability to work with the business and technical project stakeholders to translate business requirements into data requirements / user stories. Your delivery and project experience will be second to none coupled with data mapping and tracing data lineage. In addition, experience with data governance and metadata management tools (Axon, Collibra, IGC) will be ideal. 
 
If you have experience in data management and a passion for driving value through data, then we want to talk to you! 
 
About the Financial Management Group
 The Financial Management Group provides financial, tax and treasury services to all areas of Macquarie. The group is focused on providing strategic analysis and advice to Macquarie's businesses and senior management, managing Macquarie's funding, liquidity and capital position, ensuring Macquarie continues to meet regulatory and compliance obligations and managing Macquarie's corporate affairs. 
 
Our commitment to Diversity and Inclusion 
 
Macquarie understands the importance of diversity and inclusion - our long history of success has come from being different. At Macquarie we value the innovation and creativity that diversity of thought brings. The one thing we all have in common is our focus on high performance. If you're capable, motivated and can deliver, we want you on our team. 
 
We recognise that flexibility comes in a variety of forms. Talk to us about what flexibility you need. 
 
 
 About Macquarie 
 The best investment you can make is in yourself. 
 Whether you’re looking to take on a new project; progress within your division; explore an opportunity in a different team; or relocate globally – we let our people decide which direction they want to take.
 At Macquarie we uncover the opportunities others may miss. Our culture promotes innovation, balanced with robust risk management, to realise opportunity for our clients, community, shareholders and our people.
 Macquarie is a diversified global financial group providing clients with asset management, banking, advisory and risk and capital solutions across debt, equity and commodities. Headquartered in Sydney and with offices in 31 markets, it is the breadth of our operations, combined with a strong capital position and risk management framework, that has contributed to our 50-year record of unbroken profitability. 
 
 Job no:  FMG-949198 
 Work type:  Full time 
 Location:  Sydney 
 Category:  Junior, Accounting & Finance 
 Group:  Financial Management Group 
 Division:  FMG Central 
 Recruiter:  Jennifer Leese 
 Opening Date:  11/11/2019",http://au.indeed.com/rc/clk?jk=77560983cb27c344&fccid=ca2285c3548c3efe&vjs=3
Lead Data Business Analyst - Sydney,EY,Sydney NSW,,"Variety of work and career development opportunities 
Choose a career that connects you globally on a daily basis 
Be part of a high-performing, supportive culture 
 About EY 
 https://www.ey.com/au/shape-the-world 
 
 The opportunity 
 
 EY DnA is the data and advanced analytics capability within EY Asia-Pacific, with over 500 specialist employees working across multiple industry sectors. 
 
We implement information-driven strategies and systems that help grow, optimize and protect client organizations. We go beyond strategy and provide end to end implementation of real life data environments and have some of the best architects, project managers, business analysts, data scientists, big data engineers, developers and consultants in the region. 
 
We are looking for a Lead Business Analyst within the DnA team in our Sydney office who believe in getting into the details, understanding technical complexities and asks the right questions to course correct for ongoing delivery and execution. This role is offered on a flexible full time basis. 
 
Your key responsibilities 
 
 Plan, develop, and lead business analysis activities to support project outcomes on large transformation initiatives, following Agile methodology. 
 
 This includes: 
 Gather and analyse complex information for business cases / proposed projects, to determine how best to evolve client capabilities and technologies and improve business performance
 Lead a team of Analysts, assign work effectively and position them for success. Be well versed in business analysis and the technical complexities of the client landscape to be able to ask the right questions and guide the team to meet outcomes, goals and priorities of the client 
Run client workshops with the Product Owner and Scrum team to gather requirements, refine and write user stories and support the agile delivery of features E2E across dependent technology and business teams 
Influence how requirements are elicited; what documentation will be produced; and how it will be signed-off and transitioned to other project resources like Development and Quality Assurance/User Acceptance Testing. Lead requirements elicitation, documentation and review activities
 Manage multiple inflight features at various stages of refinement and delivery cycle
 Collaborate confidently with a range of both technical and non-technical stakeholders across multiple levels, managing both internal and external stakeholders’ expectations
 Understand the overall scope of the project and be able to identify when requirements are changing and ensure that project change management procedures are being used properly 
Confidently create and present complex and technical information in a structured manner
 Work fluently in both technical and business environments with a strong domain focus on cloud platforms, DW / BI Reporting and Analytics 
 Skills and attributes for success 
 Demonstrated experience as a Lead or Advanced Business Analyst, with the ability to synthesise complex concepts into succinct means, drawing business insights and communicating these effectively
 Structured and analytical thinker 
Demonstrated ability to engage and influence Senior stakeholders including C-level executives, while leading business analysts and other team resources 
Strong verbal and written communications skills 
Strong Microsoft Suite skills (Word, PowerPoint, Excel, Visio) required 
Strong presentation skills and the ability to articulate complex concepts to cross functional audiences 
Ability to work effectively with EY and client teams to identify, document and drive an outcome from idea to execution 
Exposure to end-to-end project delivery, either traditional SDLC or agile delivery methodologies (or hybrid approaches)
 Deep management consulting and/or agile program delivery experience preferred
 Experience in Cloud Platforms, Data Warehouse, Business Intelligence and Analytics projects preferred 
 Ideally, you’ll also have 
 Experience in Banking and Financial Services 
Strong consulting experience and background 
 
 Who are Advisory? 
 
Our Advisory service line focuses on helping clients to improve their performance and manage their risks more effectively. From an improved finance function, enhanced supply chain, or superior customer experience, EY teams are able to offer added value and turn our client’s strategy into reality! This is why Advisory is the fastest-growing service line and an energetic, fast-paced environment. Learn more about Advisory here. 
 
 What working at EY offers 
 Our Total Rewards package includes: 
 formal or informal flexible working options e.g. remote working, flexible start and finish times
 career and learning development e.g. EY badges, career mentoring
 an extensive range of wellbeing and benefit offerings e.g. Salary packaging, parental leave and support, health checks
 Who we are 
 
EY is an inclusive and equal opportunity employer offering a vast range of internal networks including Ability EY, our disability network, Unity, our LGBTI network and our Aboriginal and Torres Strait Islander network enabling us all to embrace and value the diverse society we live within. If you have any support or access requirements, we encourage you to advise us at the time of application via contactrecruitment@au.ey.com or +61 1800 017 666. 
 
 Make your mark. Apply Now! 
 The preferred applicant will be subject to employment screening by EY or by their external third party provider. 
 #LI-ANALYTICS 
 
 © 2020 Ernst & Young Australia. All Rights Reserved. Liability limited by a scheme approved under Professional Standards Legislation.",http://au.indeed.com/rc/clk?jk=62f0b3cc2933e0eb&fccid=1544766d4c2915b0&vjs=3
